source_project_id,project_name,country,mapping_status,canonical_project_id,candidate_project_ids,review_note
iea-2026-0001,3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,unmatched-review,,,No exact curated identity match
iea-2026-0003,8Rivers H2 (8RH2) (WY),United States,unmatched-review,,,No exact curated identity match
iea-2026-0004,Emirates Steel Industries,United Arab Emirates,unmatched-review,,,No exact curated identity match
iea-2026-0005,Habshan-Bab gas plant,United Arab Emirates,unmatched-review,,,No exact curated identity match
iea-2026-0006,Shah gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,unmatched-review,,,No exact curated identity match
iea-2026-0007,Acorn CCS phase 1-Capture at St Fergus,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0008,Acorn CCS phase 1-T&S,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0009,Acorn CCS phase 2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0010,Acorn H2,United Kingdom,unmatched-review,,,No exact curated identity match
iea-2026-0011,Adbri Project,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0012,Mt Simon Hub CCS Pipeline (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0013,ADM Cedar rapids bioethanol (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0014,ADM Clinton bioethanol (IA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0015,Aemetis CCS Keyes facility (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0016,Aemetis CCS Riverbank facility (CA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0018,Air Liquide hydrogen facility Rotterdam (Porthos),Netherlands,unmatched-review,,,No exact curated identity match
iea-2026-0020,Net-zero Hydrogen Energy Complex (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0021,AirCapture DACU at Nutrien Kennewick Fertilizer (WA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0022,AirCapture Nuclear DAC at JM Farley Nuclear (AL),United States,unmatched-review,,,No exact curated identity match
iea-2026-0023,Merritt Electrofuels Project DAC (BC),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0024,Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0025,Alberta Carbon Trunk Line (ACTL) (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0028,Altera Stella Maris CCS Project Phase 2,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0031,Antwerp@ C CO2 Export Hub phase 1,Belgium,unmatched-review,,,No exact curated identity match
iea-2026-0034,Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,unmatched-review,,,No exact curated identity match
iea-2026-0035,Arkalon CO2 Compression Facility (KS),United States,unmatched-review,,,No exact curated identity match
iea-2026-0036,Arthit offshore gas field CCS,Thailand,unmatched-review,,,No exact curated identity match
iea-2026-0037,Arun CCS,Indonesia,unmatched-review,,,No exact curated identity match
iea-2026-0038,Eastern Louisiana Clean Energy Complex (LA),United States,unmatched-review,,,No exact curated identity match
iea-2026-0039,Atlas Carbon Sequestration Hub Phase 1 (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0040,Atlas Carbon Sequestration Hub Phase 2 (ALB),Canada,unmatched-review,,,No exact curated identity match
iea-2026-0041,Aukra Hydrogen Hub,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0042,Avedøre Power Station CCS,Denmark,unmatched-review,,,No exact curated identity match
iea-2026-0043,Balikpapan Refinery,Indonesia,unmatched-review,,,No exact curated identity match
iea-2026-0044,Barents Blue ammonia project Train 1,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0045,Barents Blue ammonia project Train 2,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0046,Barents Blue ammonia project Train 3,Norway,unmatched-review,,,No exact curated identity match
iea-2026-0047,Barossa and Darwin liquefied natural gas (DLNG) CCUS,Australia,unmatched-review,,,No exact curated identity match
iea-2026-0049,Bayou Bend East offshore (TX),United States,unmatched-review,,,No exact curated identity match
iea-2026-0050,Bayu-Undan field storage hub Timor-Leste phase 1,Australia-Timor Leste,unmatched-review,,,No exact curated identity match
iea-2026-0051,Soderenergi Igelsta plant,Sweden,unmatched-review,,,No exact curated identity match
iea-2026-0053,Bonanza BioEnergy CCUS EOR (KS),United States,unmatched-review,,,No exact curated identity match
iea-2026-0054,Berrima cement plant (NSW),Australia,unmatched-review,,,No exact curated identity match
iea-2026-0055,Borealis Antwerp CCS,Belgium,unmatched-review,,,No exact curated identity match
