policy_id,event_id,name,classification,target_year,primary_geography,event_direction,source_url,verification_status
policy-0c8a8ef88cbd,2026-05-25#05,"LSB Industries secures pathway to 100% ownership of El Dorado CCS project, Arkansas",corporate/project milestone,2027,United States,positive,https://www.businesswire.com/news/home/20260519473501/en/LSB-Industries-Reaches-Agreement-Establishing-a-Pathway-to-100-Ownership-of-El-Dorado-CCS-Project,verified
policy-ae983e26bad5,2026-05-26#01,Canada presses oil sands producers on Pathways carbon capture project,corporate/project milestone,2035,Canada,positive,https://worldoil.com/news/2026/5/25/canada-presses-oil-sands-producers-on-pathways-carbon-capture-project/,verified
policy-1d3f9901ce92,2026-05-26#04,Eni and BlackRock's GIP secure >$670 million financing for CCS portfolio,corporate/project milestone,2028,,positive,https://www.offshore-energy.biz/eni-and-blackrocks-gip-score-over-670-million-financing-boost-to-fuel-ccs-growth/,verified
policy-39a3bac2c963,2026-05-28#01,Santos' Moomba CCS project crosses 2 MtCO₂e stored,corporate/project milestone,2030,Australia,neutral,https://greenreview.com.au/resources/santos-moomba-ccs-project-achieves-milestone-of-storing-two-million-tonnes-of-co2/,verified
policy-f63e09a81f1a,2026-05-28#04,Canada says oil-sands cashflow can fund Pathways CCS,corporate/project milestone,2035,Canada,neutral,https://www.thestar.com.my/business/business-news/2026/05/27/canada-confident-oil-sands-can-fund-carbon-capture,verified
policy-f4ed3e744078,2026-05-29#01,Shell wins Dutch permit for Aramis CO₂ storage at K14-FA/FC,government target,2030,Netherlands,positive,https://www.industrylinqs.com/ccs/2026/05/shell-gets-permit-for-co2-storage-aramis-ccs/,verified
policy-0b330ab727f4,2026-05-29#02,HyNet's Encyclis Protos anchor capture plant enters new construction phase,commercial deadline,2029,United Kingdom,positive,https://www.energyvoice.com/renewables-energy-transition/ccs/598331/hynet-carbon-capture-anchor-project/,verified
policy-dbaf9f90cae5,2026-05-29#04,Snaring emissions: is carbon capture the new beacon of Britain's industrial future?,commercial deadline,2028,United Kingdom,positive,https://www.constructionnews.co.uk/sections/long-reads/features/snaring-emissions-is-carbon-capture-the-new-beacon-of-britains-industrial-future-28-05-2026/,verified
policy-b81302676b34,2026-06-01#01,"Sirona Technologies launches Project Furu DACCS in Øygarden, Norway",corporate/project milestone,2029,Norway,neutral,https://carbonherald.com/sirona-technologies-launches-furu-daccs-project-in-norway/,verified
policy-2acaf595921d,2026-06-01#02,"City of Stockholm signs 750,000-tonne carbon-removal deal with Stockholm Exergi",commercial deadline,2028,Sweden,neutral,https://www.esgtoday.com/stockholm-becomes-one-of-worlds-largest-carbon-removal-buyers-with-new-750000-tonne-deal/,verified
