gccsi_project,iea_candidate,country,name_similarity,next_best_similarity,iea_stage,gccsi_stage,iea_capacity_basis,gccsi_capacity_basis,iea_capacity_mtpa,gccsi_capacity_mtpa,review_note
Green Plains Central City BioRefinery,Green Plains Advantage Nebraska - Central City biorefinery (NE),United States,0.625,0.429,operating,construction,capture_capacity,capture_capacity,0.332,0.33,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Green Plains Wood River BioRefinery,Green Plains Advantage Nebraska - Wood River biorefinery (NE),United States,0.625,0.429,operating,construction,capture_capacity,capture_capacity,0.346,0.35,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Green Plains York Biorefinery,Green Plains Advantage Nebraska - York biorefinery (NE),United States,0.571,0.5,operating,construction,capture_capacity,capture_capacity,0.143,0.14,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Huaneng Longdong Energy Base,Huaneng Longdong Energy base/Zhengning coal power plant (Gansu),China,0.5,0.143,operating,construction,capture_capacity,capture_capacity,1.5,1.5,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Qatar Petroleum North Field East,Qatar North Field East Project CCS,Qatar,0.8,0.167,construction,construction,capture_capacity,capture_capacity,4.3,2.1,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Trailblazer Pipeline,Trailblazer CO2 pipeline (NE)(WY),United States,0.5,0.25,operating,construction,transport_capacity,not_reported_for_transport_storage,10.0,,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Fluxys c-grid Antwerp Pipeline,Antwerp CO2 Pipeline Network,Belgium,0.4,0.2,construction,construction,transport_capacity,not_reported_for_transport_storage,10.0,,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Linde Beaumont Hydrogen Plant,Linde hydrogen plant for Beaumont New Ammonia (TX),United States,0.429,0.2,construction,construction,capture_capacity,capture_capacity,2.2,2.2,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Yara Sluiskil,Yara Sluiskil fertiliser,Netherlands,0.667,0.0,construction,construction,capture_capacity,capture_capacity,0.8,0.8,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Air Liquide Rotterdam,Air Liquide hydrogen facility Rotterdam (Porthos),Netherlands,0.6,0.25,construction,construction,capture_capacity,capture_capacity,0.5,0.5,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Petronas Kasawari,Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),Malaysia,0.5,0.25,construction,construction,capture_capacity,capture_capacity,3.3,3.7,Rule-assisted naming candidate only; not counted as matched until human adjudication.
QAFCO Ammonia-7 Blue Ammonia,7 Blue Ammonia Facility,Qatar,0.667,0.0,construction,construction,capture_capacity,capture_capacity,1.5,1.5,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Porthos CO₂ Transport and Storage,Porthos offshore transport and storage,Netherlands,0.6,0.4,construction,construction,storage_injection_capacity,not_reported_for_transport_storage,2.5,,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Project Greensand,Project Greensand phase 2,Denmark,1.0,0.5,concept,construction,storage_injection_capacity,not_reported_for_transport_storage,7.6,,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Air Products Rotterdam,Air Products for Exxonmobil Botlek Rotterdam refinery,Netherlands,0.429,0.333,construction,construction,capture_capacity,not_reported_for_transport_storage,0.958,,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Dow Fort Saskatchewan ethylene CCS,Linde hydrogen to Dow Fort Saskatchewan Path2Zero (ALB),Canada,0.333,0.1,construction,construction,capture_capacity,capture_capacity,2.0,2.0,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Beccs Stockholm,Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Sweden,0.333,0.2,construction,construction,capture_capacity,capture_capacity,0.8,0.8,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Air Products Louisiana Clean Energy Complex,Eastern Louisiana Clean Energy Complex (LA),United States,0.5,0.375,concept,construction,capture_capacity,capture_capacity,5.0,5.0,Rule-assisted naming candidate only; not counted as matched until human adjudication.
BP Tangguh LNG,Tangguh LNG EGR,Indonesia,0.5,0.25,construction,construction,capture_capacity,capture_capacity,3.3,3.0,Rule-assisted naming candidate only; not counted as matched until human adjudication.
CF Industries Blue Point,CF Industries blue ammonia Donaldsonville (LA),United States,0.429,0.375,operating,construction,capture_capacity,capture_capacity,2.0,2.3,Rule-assisted naming candidate only; not counted as matched until human adjudication.
Hafslund Oslo Celsio Waste-to-Energy Plant,Hafslund Oslo Celsio,Norway,0.5,0.375,construction,construction,capture_capacity,capture_capacity,0.35,0.35,Rule-assisted naming candidate only; not counted as matched until human adjudication.
