project_id,canonical_name,aliases,entity_type,parent_hub_id,primary_country,countries,organisations,sector,co2_source,co2_destination,capture_technology,lifecycle_stage,expected_start,actual_start,capacity_basis,capacity_mtpa,actual_annual_mt,capacity_status,capacity_source_date,permit_status,confidence,verification_status,source_quality,last_verified,source_url
au-moomba-ccs,Moomba CCS,moomba ccs|moomba carbon capture|moomba carbon capture and storage|moomba ccs storage hub phase 2|moomba ccs storage hub phase 3|moomba ccs storage hub phase 4,project,,Australia,Australia,Santos,natural gas,natural gas processing,dedicated storage,,operating,2024,2024,storage_injection_capacity,1.7,1.7,reported current,2026-05-24,operating,high,verified,operator,2026-05-24,https://www.santos.com/news/moomba-ccs-project-stores-two-million-tonnes-of-co2/
au-cliff-head-ccs,Cliff Head CCS,cliff head|pilot energy|cliff head ccs project,project,,Australia,Australia|South Korea,Pilot Energy,oil and gas,multiple sources,dedicated storage,,FEED,2028,,storage_injection_capacity,1.0,,reported proposed,2026-05-25,assessment,medium,reported,industry media,2026-05-25,
au-gorgon-ccs,Gorgon CCS,gorgon ccs|gorgon carbon dioxide injection,project,,Australia,Australia,Chevron,natural gas,natural gas processing,associated reinjection,,operating,2019,2019,storage_injection_capacity,4.0,,nameplate,2026-07-28,operating,high,verified,operator,2026-07-28,
au-carbonnet,CarbonNet,carbonnet|pelican storage,hub,,Australia,Australia,Victorian Government,multi-sector,multiple sources,dedicated storage,,FEED,2030,,storage_injection_capacity,6.0,,reported proposed,2025-07-01,assessment,medium,reported,government,2026-07-28,
ca-pathways,Pathways Alliance CCS network,pathways alliance|pathways carbon capture|pathways ccs hub|pathways ccs|pathways alliance t s alb|pathways alliance alb 14 facilities,hub,,Canada,Canada,Pathways Alliance,oil sands,oil sands,dedicated storage,,feasibility,2035,,capture_capacity,16.0,,announced,2026-05-28,pre-application,medium,reported,government and industry,2026-07-02,
ca-meadowbrook,Meadowbrook Storage Hub,bison low carbon|meadowbrook storage,storage-site,,Canada,Canada,Bison Low Carbon Ventures,multi-sector,multiple sources,dedicated storage,,operating,2026,2026,storage_injection_capacity,0.5,,nameplate,2026-06-30,operating,medium,reported,GCCSI quarterly,2026-06-30,
ca-varme-heartland,Varme Heartland CCS,varme|heartland ccs|heartland waste to power edmonton varme facility alb,project,,Canada,Canada,Varme,waste-to-energy,waste-to-energy,dedicated storage,,FEED,2027,,capture_capacity,0.185,,reported proposed,2026-07-01,assessment,medium,reported,news,2026-07-01,
us-carbon-terravault-i,Carbon TerraVault I,carbon terravault i|california first co2 injection,storage-site,,United States,United States,California Resources Corporation,multi-sector,multiple sources,dedicated storage,,commissioning,2026,2026,storage_injection_capacity,1.46,,nameplate,2026-05-28,permitted,high,verified,operator and regulator,2026-05-28,
us-el-dorado,El Dorado CCS,el dorado ccs|lsb industries,project,,United States,United States,LSB Industries,fertiliser,ammonia hydrogen,dedicated storage,,FEED,2027,,capture_capacity,0.5,,reported proposed,2026-05-25,assessment,medium,reported,company,2026-05-25,
us-stratos,STRATOS DAC hub,stratos|stratos dac|occidental stratos|stratos tx phase 1|stratos tx phase 2,capture-facility,,United States,United States,1PointFive|Occidental,DAC,atmospheric CO2,dedicated storage,direct air capture,construction,2026,,capture_capacity,0.5,,nameplate,2026-06-17,permitted,high,verified,operator,2026-06-17,
us-bkv-east-texas,BKV East Texas CCS,bkv commissions|two additional texas|bkv east texas,project,,United States,United States,BKV,natural gas,natural gas processing,dedicated storage,,operating,2026,2026,capture_capacity,0.12,,nameplate combined,2026-07-02,operating,medium,reported,company,2026-07-02,
us-strategic-biofuels,Strategic Biofuels Louisiana Green Fuels,strategic biofuels|louisiana green fuels|louisiana green fuels project la,project,,United States,United States,Strategic Biofuels,biofuels,biogenic,dedicated storage,,permitted,2029,,storage_injection_capacity,1.0,,permitted,2026-07-02,Class VI permitted,high,verified,regulator,2026-07-02,
