country,programme,funder,amount,currency,period_start,period_end,period_years,scope,status,announced,awarded_to_date,awarded_asof,awarded_note,source,page,corpus_id,quote,note
United Kingdom,CCUS cluster support — Track-1 (Teesside / HyNet),UK Government (DESNZ),21700000000,GBP,2024,2049,25,ccs-specific,committed,2024-10,,,"No cumulative drawdown figure is published. Individual awards are visible as they occur — e.g. the £65.5m Viking development-fund grant in July 2026 (corpus record 2026-07-16#01) — but these are drawdown against the programme, not additional money.",GCCSI Global Status of CCS 2024,48,,the UK government announced up to £21.7 billion pounds of funding support over the next 25 years for two CCS clusters,"The single largest CCS funding commitment by any government in this register. At £21.7bn over 25 years the simple average is ~£870m a year, but the profile is not flat — early years are construction-heavy. Treat the annual average as an ordering aid, not a budget line."
United Kingdom,Green Industry Growth Accelerator,UK Government,960000000,GBP,2023,,,ccs-eligible,committed,2023-11,,,,GCCSI Global Status of CCS 2024,48,,"a £960 million fund for CCUS, greenhouse gas removals (GGRs), and hydrogen","Shared across CCUS, greenhouse-gas removal and hydrogen — the CCS share is not broken out."
United States,Bipartisan Infrastructure Law — carbon management,US Federal Government (DOE),12500000000,USD,2021,,,ccs-specific,operating,,2200000000,2024-06,Nearly US$2.2bn awarded or in award negotiations as at June 2024 — about 18% of the appropriation.,GCCSI Global Status of CCS 2024,33,,Nearly US$2.2 billion of the BIL’s US$12.5 billion appropriations for carbon management have been awarded or are in negotiations,The clearest published example of the gap between a headline appropriation and money actually moving: roughly four-fifths of this pot was still unawarded nearly three years after the law passed.
United States,Regional Direct Air Capture Hubs,US Federal Government (DOE),3500000000,USD,2021,,,ccs-specific,operating,,1200000000,2024,"Up to US$1.2bn selected for two hubs (Louisiana and Texas), each targeting 1 Mtpa.",GCCSI Global Status of CCS 2024,21,,"two DAC hubs, each with a total capacity of 1 Mtpa, have been selected by the Department of Energy (DOE) for significant financial support from a US$3.5 billion funding pool",
United States,45Q tax credit,US Federal Government (IRS),,USD,2022,,,ccs-specific,operating,,,,,GCCSI Global Status of CCS 2024,33,,$85/tonne for CO2 storage in saline geologic formations from industrial and power generation facilities,"Uncapped per-tonne credit rather than a fixed pot, so it has no headline total: US$60/t for utilisation or EOR storage, US$85/t for saline storage, rising to US$130/t and US$180/t respectively for direct air capture. Its eventual cost depends entirely on how much CO2 is actually stored — which is why it cannot be compared against a capped programme like the UK's."
Canada,Canada Growth Fund — carbon contracts for difference,Government of Canada,7000000000,CAD,2023,,,ccs-eligible,committed,,,,,GCCSI Global Status of CCS 2024,34,,Up to CA$7 billion of CGF’s $15 billion in capital can be allocated to CCfDs,"A ceiling within the CA$15bn Canada Growth Fund, not a ring-fenced CCS pot: up to CA$7bn may go to carbon contracts for difference, which cover more than CCS."
Norway,Longship (Langskip) — state share,Norwegian Government,16800000000,NOK,2020,,,ccs-specific,operating,,16800000000,2024,State funding is committed to the project and largely deployed — Northern Lights began storing CO2 in 2025.,GCCSI Global Status of CCS 2024,26,,the Norwegian government provided NOK 16.8 billion of the total NOK 21.1 billion capital expenditure for project Longship,"The state carries NOK 16.8bn of a NOK 21.1bn total — roughly 80% public. Unusually for this register, the money has actually been spent and the facility is operating."
European Union,Innovation Fund call (2023-24 round),European Commission,4000000000,EUR,2023,2024,1,ccs-eligible,operating,,,,,GCCSI Global Status of CCS 2024,47,,"a new call for proposals under the Innovation Fund, with a record budget of €4 billion for the deployment of decarbonisation technologies, including CCS and CDR","A single call covering decarbonisation technologies generally, with CCS and carbon removal eligible. Earlier rounds funded Northern Lights."
Sweden,Bioenergy CCS state aid,Swedish Government (EC-approved),3000000000,EUR,2024,,,ccs-specific,committed,2024-07,,,,GCCSI Global Status of CCS 2024,48,,Sweden secured approval from the Commission under the state aid rules to allocate €3 billion to support CCS projects aimed at reducing emissions from biomass combustion or processing,
Japan,Climate transition bond — CCS share,Government of Japan,26000000000,USD,2024,2033,10,ccs-specific,committed,2024-02,,,,GCCSI Global Status of CCS 2024,41,,"the first tranche of a planned 10-year, US$130 billion climate bond ... 20% is expected to be earmarked for CCS","DERIVED FIGURE, not a stated one: 20% of the US$130bn ten-year climate transition bond, as the report says is expected to be earmarked for CCS. The 20% is an expectation, so treat this as indicative."
Australia,Geoscience Australia subsurface resource mapping,Australian Government,556100000,AUD,2024,2034,10,ccs-eligible,committed,2024-05,,,,GCCSI Global Status of CCS 2024,40,,the government provided AU$556.1 million over 10 years for ... Geoscience Australia to comprehensively map Australia’s subsurface resources,"Maps subsurface resources broadly, including but not limited to CO2 storage potential. It funds knowledge, not deployment — Australia has no CCS deployment pot of comparable scale in this register."
Germany,Industrial decarbonisation support — CCS hubs,German Federal Government,5000000000,EUR,2026,,,ccs-specific,announced,2026-05,,,Competitive support mechanisms expected from mid-2026; nothing awarded yet.,CO2CRC news tracking,,2026-05-28#03,Federal government earmarks €5 bn of industrial-decarbonisation support to seed first commercial CCS hubs,
Denmark,ACCSION contract-for-difference (Aalborg Portland),Danish Energy Agency,16500000000,DKK,2030,2045,15,ccs-specific,committed,2026-06,,,Payments begin in 2030 when capture starts; nothing has been paid yet.,CO2CRC news tracking,,2026-06-10#02,"a 15-year, inflation-indexed contract-for-difference at €117/t (DKK 875/t) covering up to 1.25 Mtpa","A worked example of why period matters: DKK 16.5bn (~€2.2bn) is a 15-year obligation starting in 2030, worth roughly €147m a year, not a lump sum available today."
India,National CCUS scheme,Government of India,200000000000,INR,2026,2031,5,ccs-specific,announced,2026-05,,,Expenditure Finance Committee has approved it; final Union Cabinet approval still required before launch.,CO2CRC news tracking,,2026-05-28#05,"Rs 20,000 crore (~$2.4 bn) five-year CCUS scheme covering power, steel, cement, refining and chemicals",
Belgium,Flanders industrial decarbonisation — CCS tranche,Flemish Regional Government,1200000000,EUR,2026,,,ccs-specific,committed,2026-06,200000000,2026-06,€200m pre-allocated to BASF/Air Liquide's Kairos@C at Antwerp; the remaining €1bn goes to a competitive round in 2028.,CO2CRC news tracking,,2026-06-29#02,€1.2 billion earmarked for CCS ... €200 million pre-allocated to BASF/Air Liquide's Kairos@C,
