event_id,headline,candidate_project_ids,review_reason,capacity_reported_mtpa,countries,resolution
2026-05-24#04,Mantel and Wood MOU to Scale High-Temperature Carbon Capture for Oil Sands,,capacity-carrying event has no canonical entity match,0.06,Canada,
2026-05-26#04,Eni and BlackRock's GIP secure >$670 million financing for CCS portfolio,,capacity-carrying event has no canonical entity match,4.5,United Kingdom|Netherlands|Italy,
2026-05-29#04,Snaring emissions: is carbon capture the new beacon of Britain's industrial future?,,capacity-carrying event has no canonical entity match,2,United Kingdom,
2026-06-03#02,OEUK summit: DNV & Xodus reports project North Sea cross-border CO₂ flows from 18 Mtpa (2030) to 36 Mtpa (2050),,capacity-carrying event has no canonical entity match,36,United Kingdom|Norway|Netherlands|Germany|Belgium|France,
2026-06-15#06,"Dutch government retires ~7,000 t of durable carbon-removal credits to offset official-flight emissions",,capacity-carrying event has no canonical entity match,0.007,Netherlands,
2026-06-16#01,E.ON awards Capsol BECCS feasibility study at Norrköping,,capacity-carrying event has no canonical entity match,0.5,Sweden,
2026-06-17#04,"Europe needs a 65-ship CO₂ carrier fleet and 33 ports by 2050, Xodus study finds",,capacity-carrying event has no canonical entity match,320,,
2026-06-19#02,JERA charters MOL and NYK ammonia carriers to ship CCS-enabled fuel from Louisiana to Japan,,capacity-carrying event has no canonical entity match,2.3,United States|Japan,
2026-06-22#03,"Climeworks Solutions signs 14 CDR portfolio deals totalling ~450,000 t in H1 2026",,capacity-carrying event has no canonical entity match,0.45,Switzerland,
2026-06-25#02,State of Carbon Dioxide Removal — 3rd Edition published at London Climate Action Week,,capacity-carrying event has no canonical entity match,18.1,,
2026-06-25#06,"Climeworks Solutions: 14 new CDR portfolio partnerships totalling ~450,000 t in H1 2026",,capacity-carrying event has no canonical entity match,0.45,,
2026-06-26#03,Aircapture wins Tencent CarbonX 2.0 award for microwave-driven DAC; 100 t/yr Kenya pilot mandated,,capacity-carrying event has no canonical entity match,0.0001,United States|Kenya,
2026-06-30#01,Deep Sky delivers North America's first certified DAC carbon-removal credits,,capacity-carrying event has no canonical entity match,0.003,Canada,
2026-Q2#01,Microsoft signs major BECCS carbon removal deal with Svante,,capacity-carrying event has no canonical entity match,0.09,Canada,
2026-Q2#03,"ExxonMobil does not renew 163 federal offshore leases in the Gulf of Mexico, widely considered to be used for CCS",,capacity-carrying event has no canonical entity match,30,United States,
2026-Q2#20,France identifies 16.7 Mtpa CO2 that could be transported by NaTran to storage,,capacity-carrying event has no canonical entity match,16.7,France,
2026-Q2#46,China's first offshore EGR project starts construction,,capacity-carrying event has no canonical entity match,1,China,
2026-Q2#49,Shaanxi 150 Ktpa CCUS integrated project completes commissioning test,,capacity-carrying event has no canonical entity match,0.15,China,
2026-Q2#51,Guangdong Red Bay Generation 3 Ktpa Carbon Capture Project commences construction,,capacity-carrying event has no canonical entity match,0.003,China,
2026-Q2#53,Yanchang Petroleum 1 Mtpa project begins construction on pipeline,,capacity-carrying event has no canonical entity match,2.8,China,
2026-Q2#54,Ningxia 1 Ktpa DAC-to-SAF Project begins construction,,capacity-carrying event has no canonical entity match,0.001,China,
2026-Q2#55,Shougang Lanza Tech Hebei Phase II Project commences operation,,capacity-carrying event has no canonical entity match,0.01,China,
2026-07-06#02,Ucaneo inaugurates Germany's largest direct air capture plant in Berlin,,capacity-carrying event has no canonical entity match,0.00015,Germany,
2026-07-13#01,INPEX spuds Japan's first offshore CO₂-storage appraisal well off Chiba,,capacity-carrying event has no canonical entity match,1.3,Japan,
2026-07-20#02,European Commission tables EU ETS Phase 5 reform: 90% cut by 2040 and a ~€50bn carbon-removal purchasing mechanism,,capacity-carrying event has no canonical entity match,48,European Union,
2026-07-22#05,"Cemex wins EUR200m PERTE grant for SOMZERO carbon-capture project, Alcanar (Spain)",,capacity-carrying event has no canonical entity match,0.5,Spain,
2026-07-27#04,"Evero moves to retrofit its Ince Bio Power plant with carbon capture, joining HyNet (UK BECCS)",,capacity-carrying event has no canonical entity match,0.217,United Kingdom|Japan,
2026-07-30#02,Northern Lights completes phase-1 LCO2 carrier fleet as 'Northern Purpose' arrives in Norway,,capacity-carrying event has no canonical entity match,1.5,Norway,
2026-07-30#03,Williams selects ExxonMobil for CO2 transport and storage from Louisiana Energy Gateway,,capacity-carrying event has no canonical entity match,1.0,United States,
2026-07-31#04,"PureField Ingredients launches 150,000 tpa Class VI CCS facility in Russell, Kansas",,capacity-carrying event has no canonical entity match,0.15,United States,
