commitment_id,project_id,headline,primary_geography,region,category,funder_type,commitment_status,reported_value_aud,status_weight,status_weighted_reported_value_aud,duplicate_of,additive,ccs_specific_share_known,source_url
2026-05-25#03,,EU Innovation Fund Heat Auction: €400 M to 65 industrial heat decarbonisation projects,European Union,EU bloc,ccs_public_funding_event,government,allocated,664000000,0.75,498000000,,yes,not applicable/unspecified,https://climate.ec.europa.eu/eu-action/eu-funding-climate-action/innovation-fund/innovation-fund-projects_en
2026-05-26#01,ca-pathways,Canada presses oil sands producers on Pathways carbon capture project,Canada,Americas,project_capex,private,announced,18480000000,0.25,4620000000,,yes,not applicable/unspecified,https://worldoil.com/news/2026/5/25/canada-presses-oil-sands-producers-on-pathways-carbon-capture-project/
2026-05-28#03,,Germany commits €5 billion to carbon capture push,Germany,Europe,ccs_public_funding_event,government,allocated,8300000000,0.75,6225000000,,yes,not applicable/unspecified,https://oilprice.com/Energy/Energy-General/Germany-Puts-5-Billion-Behind-Carbon-Capture-Push.html
2026-05-28#05,,India publishes net-zero CCUS storage roadmap,India,Asia-Pacific,ccs_public_funding_event,government,allocated,3580000000,0.75,2685000000,,yes,not applicable/unspecified,https://discoveryalert.com.au/india-carbon-storage-roadmap-ccus-geological-storage-2026/
2026-06-03#01,,UK 7th Carbon Budget proposed at ~87% emissions cut 2038–42,United Kingdom,Europe,market_aggregate_not_commitment,private,na,175500000000,0.0,0,,no,not applicable/unspecified,https://www.miragenews.com/uk-boosts-energy-security-jobs-investment-via-1684772/
2026-06-03#03,,NSW opens A$225m Net Zero Manufacturing round,Australia,Asia-Pacific,ccs_public_funding_event,government,allocated,225000000,0.75,168750000,,yes,not applicable/unspecified,https://carbon-pulse.com/517463/?site=cpp
2026-06-05#02,,US: Trump redirects US$185 mln of IIJA CCS funds to coal under US$700 mln DPA package,United States,Americas,withdrawn_or_redirected_public_funding,government,cancelled,283050000,0.0,0,,yes,not applicable/unspecified,https://www.latitudemedia.com/news/trump-is-redirecting-carbon-capture-funds-to-coal-for-ai/
2026-06-10#02,dk-accsion,Aalborg Portland signs €2.2 bn (DKK 16.5 bn) ACCSION CCS subsidy contract with Danish Energy Agency,Denmark,Europe,ccs_public_funding_event,government,committed,3679500000,1.0,3679500000,,yes,not applicable/unspecified,https://www.domain-b.com/environment-1/denmark-awards-ccs-subsidy-aalborg-portland-accsion-project-2026
2026-06-11#05,uk-hynet-padeswood,LTi Vessco secures £4.5m contract from Mitsubishi Heavy Industries for HyNet Padeswood CCS regenerator,United Kingdom,Europe,supplier_contract,private,committed,8775000,1.0,8775000,,no,not applicable/unspecified,https://businessnewswales.com/lti-vessco-secures-4-5m-carbon-capture-vessel-contract-from-mitsubishi-heavy-industries/
2026-06-15#02,,São Paulo state launches Brazil's first sugarcane-ethanol BECCS pilot,Brazil,Americas,ccs_public_funding_event,government,allocated,8400000,0.75,6300000,,yes,not applicable/unspecified,https://carbon-pulse.com/521372/
2026-06-16#03,,NoviqTech pivots to biochar CDR via Coralia acquisition,Australia,Asia-Pacific,private_investment,private,committed,1500000,1.0,1500000,,yes,not applicable/unspecified,https://carbonherald.com/noviqtech-to-divests-tech-assets-as-it-shifts-toward-cdr/
2026-06-17#03,,UP Catalyst unveils Finland graphite production plans using captured CO₂,Finland,Europe,private_investment,government,committed,29880000,1.0,29880000,,yes,not applicable/unspecified,https://www.gasworld.com/story/up-catalyst-unveils-finland-graphite-production-plans/2252216.article/
2026-06-19#01,au-myrtle,Australia opens the world's first commercial carbon refinery on Kooragang Island,Australia,Asia-Pacific,project_capex,mixed,spent,80000000,1.0,80000000,,yes,not applicable/unspecified,https://www.miningweekly.com/article/australia-opens-first-carbon-refinery-making-new-products-from-captured-carbon-dioxide-2026-06-18
2026-06-23#01,,EU leaders' draft summit conclusions: extra free ETS allowances for heavy industry from January 2026,European Union,EU bloc,not_ccs_funding,none,na,6640000000,0.0,0,,no,not applicable/unspecified,https://esgnews.com/eu-plans-extra-free-co2-permits-for-heavy-industry-as-competitiveness-pressure-builds/
2026-06-26#01,,Summit Carbon Solutions $15 million pipe-supply lawsuit proceeds toward Delaware trial,United States,Americas,not_ccs_funding,none,na,22950000,0.0,0,,no,not applicable/unspecified,https://carbonherald.com/summit-carbon-solutions-faces-15m-lawsuit-as-pipeline-delays-continue/
2026-06-26#02,,Canada backs ASEAN carbon capture push with C$1.38 million through ASEAN-Canada Trust Fund,,Global / unallocated,ccs_public_funding_event,government,allocated,1545600,0.75,1159200,,yes,not applicable/unspecified,https://carbonherald.com/canada-backs-asean-carbon-capture-push-with-c1-38m/
2026-06-26#05,,"Tencent's CarbonX 2.0 announces 16 winners sharing ~US$30 million across CDR, CCUS-for-steel, CCU, LDES",China,Asia-Pacific,private_investment,private,allocated,45900000,0.75,34425000,,yes,not applicable/unspecified,https://carbonherald.com/16-winners-will-share-the-nearly-30m-award-from-tencents-carbonx-2-0-program/
2026-06-29#02,,Flanders unveils €2 billion industrial decarbonisation package with €1.2 billion earmarked for CCS,Belgium,Europe,ccs_public_funding_event,government,allocated,1992000000,0.75,1494000000,,yes,not applicable/unspecified,https://carbonherald.com/flanders-to-invest-e2b-in-carbon-capture-and-industrial-decarbonization/
2026-06-29#05,,SolarDuck and MARIN secure €3.2 million RVO grant for offshore floating power hub designed to serve CCS subsea infrastructure,Netherlands,Europe,ccs_public_funding_event,government,allocated,5312000,0.75,3984000,,yes,not applicable/unspecified,https://www.offshore-energy.biz/dutch-floating-power-hub-for-remote-subsea-assets-secures-e3-2m-govt-push/
2026-06-29#06,,"Captura closes US$12.5 million Series B led by Equinor Ventures with Aramco Ventures, Eni Next, JAL Innovation Fund and Hitachi Ventures co-investing",United States,Americas,private_investment,private,committed,19125000,1.0,19125000,,yes,not applicable/unspecified,https://carbonherald.com/captura-secures-new-12-5m-to-grow-the-us-production-of-its-bipolar-membrane-electrodialysis-tech/
2026-Q2#09,,TerraSpark Energy Campus wins $18.5M DOE grant for West Virginia power and carbon capture project,United States,Americas,ccs_public_funding_event,government,allocated,28305000,0.75,21228750,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
2026-Q2#13,,The Canadian government invests nearly $29 million toward cleantech projects,Canada,Americas,ccs_public_funding_event,government,allocated,32480000,0.75,24360000,,yes,not applicable/unspecified,https://www.globalccsinstitute.com/resources/publications-reports-research/
