project,lat,lon,place
Sleipner,58.37,1.91,"Sleipner field, North Sea"
Snohvit,71.55,21.05,"Snøhvit field, Barents Sea (capture at Melkøya, Hammerfest)"
Northern Lights (Phase 1),60.4,3.5,"Aurora storage site, North Sea (terminal at Øygarden)"
Quest,53.77,-113.1,"Scotford, Alberta"
Boundary Dam -> Aquistore (dedicated fraction),49.09,-103.0,"Estevan, Saskatchewan"
Illinois Industrial CCS (ADM Decatur),39.84,-88.95,"Decatur, Illinois"
Gorgon,-20.8,115.4,"Barrow Island, Western Australia"
Moomba,-28.1,140.2,"Cooper Basin, South Australia"
Ravenna (Phase 1),44.42,12.28,"Offshore Ravenna, Adriatic"
Orca / CarbFix (Iceland dedicated site),64.04,-21.4,"Hellisheiði, Iceland"
Santos Basin Pre-Salt,-24.5,-42.5,"Santos Basin pre-salt, offshore Brazil"
Qatar LNG (Ras Laffan),25.9,51.55,Ras Laffan Industrial City
Great Plains Synfuel -> Weyburn-Midale,49.66,-103.85,"Weyburn-Midale, Saskatchewan (CO2 piped from Beulah, North Dakota)"
Century -> Hobbs/Denver Unit,32.55,-103.15,"Hobbs / Permian Basin, New Mexico–Texas"
Shute Creek,42.0,-110.1,"LaBarge, Wyoming"
Air Products (Port Arthur) -> Gulf Coast/Denbury,29.88,-93.93,"Port Arthur, Texas"
Coffeyville -> North Burbank Unit,36.85,-96.4,"North Burbank Unit, Oklahoma (capture at Coffeyville, Kansas)"
Arkalon -> Farnsworth Unit,36.4,-100.95,"Farnsworth Unit, Texas panhandle (capture at Arkalon, Kansas)"
Core Energy,44.7,-84.7,Northern Michigan
ACTL (Nutrien + Sturgeon) -> Clive/Enhance,52.4,-113.3,"Clive field, Alberta (Alberta Carbon Trunk Line)"
CNPC Jilin,44.8,124.8,"Songyuan, Jilin province"
Sinopec Zhongyuan,35.7,115.0,"Puyang, Henan province"
Karamay Dunhua,45.6,84.9,"Karamay, Xinjiang"
