source_project_id,project_name,country,storage_type_reported,storage_class,storage_class_basis,classification_confidence,first_reported_year,latest_reported_year,latest_annual_stored_mt,cumulative_stored_mt,population_coverage,value_status,source_vintage,source_url
london-2025-001,Sleipner,Norway,Geological Storage,dedicated,derived-destination-class,medium,1996,2024,0.05,18.957,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,Geological Storage,dedicated,derived-destination-class,medium,2008,2024,0.74,8.624,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,Geological Storage,dedicated,derived-destination-class,medium,2012,2023,0.0,0.081,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-004,CO2 EOR Project Crotia,Croatia,Geological Storage with Oil Recovery,eor,reported-class,high,2014,2015,0.0,0.277,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-005,Tomakomai CCS Demonstration Project,Japan,Geological Storage,dedicated,derived-destination-class,medium,2016,2019,0.0,0.301,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-006,ADNOC Al Reyadah,United Arab Emirates,Geological Storage with Oil Recovery,eor,reported-class,high,2016,2024,0.8,7.2,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-007,Chevron Gorgon,Australia,Geological Storage,dedicated,derived-destination-class,medium,2019,2023,0.0,9.836017,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-008,CO2CRC,Australia,Geological Storage,dedicated,derived-destination-class,medium,2008,2024,0.007375,0.10348,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-009,Petrobras Santos Basin Pre-Salt Oil Field,Brazil,Geological Storage with Oil Recovery,eor,reported-class,high,2008,2024,14.18,67.91,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-010,Alberta Carbon Trunk Line (ACTL),Canada,Geological Storage with Oil Recovery,eor,reported-class,high,2020,2024,1.41,6.2,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-011,Quest,Canada,Geological Storage,dedicated,derived-destination-class,medium,2015,2024,1.04,9.823,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-012,Aquistore,Canada,Geological Storage with Oil Recovery,eor,reported-class,high,2015,2024,0.612,3.213,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-013,Weyburn-Midale,Canada,Geological Storage with Oil Recovery,eor,reported-class,high,2000,2022,0.0,37.581456,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-014,ShengLi  Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2007,2024,0.966,4.8656,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-015,Zhongyuan Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2006,2015,0.0,2.7,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-016,Yanchang Integrated Demonstration,China,Geological Storage with Oil Recovery,eor,reported-class,high,2013,2024,0.0957,0.7828,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-017,Xinjiang Ordos Basin,China,Geological Storage,dedicated,derived-destination-class,medium,2011,2016,0.0,0.6,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-018,Karamay Dunhua,China,Geological Storage with Oil Recovery,eor,reported-class,high,2015,2024,0.1,1.0,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-019,Jilin Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2015,2024,3.5,18.685,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-020,Shenhua Ordos,China,Geological Storage,dedicated,derived-destination-class,medium,2011,2016,0.0,0.3024,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-021,Caoshe Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2005,2009,0.0,0.1145,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-022,Jingbian Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2012,2014,0.0,0.0171,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-023,Xinjiang Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2019,2024,0.0328,0.1968,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-024,Liaohe Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2012,2024,0.0125,0.1625,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-025,Huabei Oilfield,China,Geological Storage with Oil Recovery,eor,reported-class,high,2013,2022,0.0,0.013,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-026,Qatar LNG,Qatar,Geological Storage,associated,derived-destination-class,medium,2019,2024,0.61,3.69,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-027,Uthmaniyah Carbon Dioxide Enhanced Oil Recovery (CO2-EOR) Demonstration Project,Saudi Arabia,Geological Storage with Oil Recovery,eor,reported-class,high,2015,2024,0.8,8.0,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-028,Denver Unit / Wasson San Andres Field,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2016,2023,0.0,25.4295446,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-029,North Burbank Unit,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2013,2023,0.0,10.2482398,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-030,Core Energy  Otsego County EOR Operations,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2018,2023,0.0,1.710754,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-031,Shute Creek,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2008,2024,6.0,101.4,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-032,30-30 Gas Plant,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2022,2023,0.0,0.022,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-033,Illinois Industrial Carbon Capture and Sequestration Project,United States,Geological Storage,dedicated,derived-destination-class,medium,2011,2024,0.332,4.892347,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-034,Barnett RDC Well No. 1,United States,Geological Storage,dedicated,derived-destination-class,medium,2023,2024,0.1626,0.1706,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-035,DGC Beulah Broom Creek,United States,Geological Storage with Oil Recovery,eor,reported-class,high,2024,2024,1.39058213,1.39058213,46 operational storage projects in London Register 2025,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
