country,operating,construction,advanced_development,early_development,pipeline,total_facilities,cross_border_participation,capacity_mtpa,capacity_all_stages_mtpa,page,policy_status,policy_page,policy_note,carbon_price,carbon_price_page
Australia,1,1,5,9,14,16,0,4.0,7.9,57-79,,,,,
Bahrain,0,0,1,0,1,1,0,,,57-79,,,,,
Belgium,0,0,6,9,15,15,0,,5.03,57-79,none,47,'No strategy' at national level; p.48 records CO2 pipeline decrees adopted separately by the Wallonian and Flemish parliaments in March 2024.,,
Brazil,1,0,0,2,2,3,0,10.6,11.02,57-79,,,,,
Bulgaria,0,0,0,1,1,1,0,,0.8,57-79,none,47,,,
Canada,7,5,15,31,46,58,0,4.52,21.97,57-79,,,,"CA$80/t carbon price, rising to CA$170/t by 2030",33
China,14,6,2,3,5,25,0,3.9,17.1,57-79,,,,~US$15/t in the CCER voluntary carbon market,43
Croatia,0,0,0,5,5,5,0,,1.26,57-79,none,47,,,
Denmark,0,2,5,9,14,16,0,,5.25,57-79,published,47,,,
Egypt,0,0,0,1,1,1,0,,,57-79,,,,,
France,0,0,1,11,12,12,1,,2.2,57-79,published,47,,,
Germany,0,0,1,9,10,10,2,,5.5,57-79,in-preparation,47,,,
Greece,0,0,1,3,4,4,0,,3.75,57-79,none,47,,,
Hungary,1,0,0,1,1,2,0,0.16,0.16,57-79,none,47,,,
Iceland,2,1,1,0,1,4,0,0.03,0.06,57-79,none,47,"Figure 4.4-1 (p.47) fills Iceland as 'no strategy', but the text on p.46 lists Iceland among countries that 'adopted strategies and roadmaps'. That sentence is a three-way disjunction and Iceland may belong to its 'refined their regulatory frameworks' limb (p.48 records alignment with the EU CCS Directive in June 2024). Unresolved in the source; shown as the figure has it.",,
India,0,0,0,2,2,2,0,,0.54,57-79,,,,,
Indonesia,0,0,5,11,16,16,1,,7.55,57-79,,,,,
Italy,0,0,0,1,1,1,1,,,57-79,none,47,"'No strategy' as defined by the figure, despite substantial regulatory activity in 2024 — the Energy Decree on CO2 storage licences (February) and the Infrastructure Decree establishing a CCS Committee (June), both p.48.",,
Japan,0,0,8,3,11,11,0,,,57-79,,,,,
Kenya,0,0,0,1,1,1,0,,1.0,57-79,,,,,
Latvia,0,0,2,0,2,2,0,,0.75,57-79,none,47,,,
Libya,0,0,0,1,1,1,0,,,57-79,,,,,
Lithuania,0,0,0,0,0,0,1,,,57-79,none,47,,,
Malaysia,0,1,2,1,3,4,3,,3.3,57-79,,,,,
Netherlands,0,5,6,2,8,13,3,,7.75,57-79,none,47,"Figure 4.4-1 (p.47) fills the Netherlands as 'no strategy' despite it being one of Europe's most advanced CCS jurisdictions in this same report (Porthos in construction, an ~EUR 86/t contract-for-difference). The figure tracks whether a single national carbon-management strategy document exists, not how much CCS is happening.",~€86/t contract-for-difference for Porthos customers,26
Norway,2,2,10,13,23,27,3,1.7,5.72,57-79,published,47,,,
Oman,0,1,0,0,0,1,0,,,57-79,,,,,
Papua New Guinea,0,1,0,0,0,1,0,,1.0,57-79,,,,,
Poland,0,0,0,3,3,3,0,,2.0,57-79,in-preparation,47,"Figure 4.4-1 shows a strategy in preparation, though p.50 opens by noting 'limited policy developments in CCS' in Poland. Both statements are the source's own.",,
Qatar,1,2,0,0,0,3,0,2.2,6.6,57-79,,,,,
Russia,0,0,0,3,3,3,0,,9.0,57-79,,,,,
Saudi Arabia,1,1,0,0,0,2,0,0.8,9.8,57-79,,,,,
Singapore,0,0,0,2,2,2,0,,2.5,57-79,,,,"S$25/t carbon tax, rising to S$45/t in 2026",15
South Korea,0,0,1,1,2,2,0,,,57-79,,,,,
Spain,0,0,0,1,1,1,0,,,57-79,none,47,,,
Sweden,0,0,4,4,8,8,0,,4.17,57-79,in-preparation,47,,,
Switzerland,0,0,1,1,2,2,1,,0.12,57-79,published,47,,,
Thailand,0,1,0,1,1,2,0,,1.0,57-79,,,,,
Timor-Leste,0,0,1,0,1,1,0,,10.0,57-79,,,,,
United Arab Emirates,1,2,1,1,2,5,0,0.8,3.8,57-79,,,,,
United Kingdom,0,0,36,29,65,65,0,,58.62,57-79,published,47,,,
United States,19,13,132,112,244,276,1,22.32,198.72,57-79,,,,45Q tax credit: US$60–180/t depending on storage type,33
