event_id,project_id,mapping_status,mapping_method,source_type,source_file,briefing_date,publication_date,headline,primary_geography,geography_basis,event_direction,media_tone,mandate_class,capacity_reported_mtpa,capacity_additive,item_url,report_url,verification_status
2026-05-24#01,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-24,2026-05-22,Climeworks CEO: Carbon Removal Market Can't Be Built on Microsoft Alone,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.bloomberg.com/news/newsletters/2026-05-22/climeworks-ceo-says-carbon-removal-can-t-hinge-on-microsoft,,item-link
2026-05-24#02,au-moomba-ccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-24,2026-05-21,Santos Moomba CCS Reaches 2 Million Tonnes CO₂e Stored,Australia,canonical physical project location,neutral,,not-dated,1.7,no — evidence only; canonical capacity register controls totals,https://www.santos.com/news/moomba-ccs-project-achieves-historic-emissions-reduction-milestone/,,item-link
2026-05-24#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-24,2026-05-21,Lufthansa Group Signs Multi-Year CDR Offtake with Senken,,multi-country or global event; non-additive until adjudicated,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.prnewswire.com/de/pressemitteilungen/senken-signs-multi-year-offtake-for-tech--and-nature-based-carbon-removal-with-lufthansa-group-europes-largest-airline-302779015.html,,item-link
2026-05-24#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-24,2026-05-19,Mantel and Wood MOU to Scale High-Temperature Carbon Capture for Oil Sands,Canada,single event geography; entity not mapped,neutral,,not-dated,0.06,no — evidence only; canonical capacity register controls totals,https://www.globenewswire.com/news-release/2026/05/19/3297315/0/en/Mantel-and-Wood-Announce-MOU-to-Scale-High-Temperature-Carbon-Capture.html,,item-link
2026-05-25#01,au-cliff-head-ccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-23,"Korean CCUS delegation tours Pilot Energy's Cliff Head offshore CCS site, WA",Australia,canonical physical project location,neutral,,not-dated,1.0,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/pilot-energy-welcomes-korean-delegation-to-showcase-ccs-progress-in-australia/,,item-link
2026-05-25#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-22,Japan sets permitting standards for seabed drilling in conservation areas for offshore CCS,Japan,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbon-pulse.com/,,item-link
2026-05-25#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-22,EU Innovation Fund Heat Auction: €400 M to 65 industrial heat decarbonisation projects,European Union,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://climate.ec.europa.eu/eu-action/eu-funding-climate-action/innovation-fund/innovation-fund-projects_en,,item-link
2026-05-25#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-22,UN General Assembly adopts landmark climate obligations resolution; Arab nations' CCS amendment rejected,,multi-country or global event; non-additive until adjudicated,negative,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.carbonbrief.org/debriefed-22-may-2026-un-adopts-landmark-resolution-trump-takes-on-rcp8-5-climate-migration/,,item-link
2026-05-25#05,us-el-dorado,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-19,"LSB Industries secures pathway to 100% ownership of El Dorado CCS project, Arkansas",United States,canonical physical project location,positive,,corporate/project milestone,0.5,no — evidence only; canonical capacity register controls totals,https://www.businesswire.com/news/home/20260519473501/en/LSB-Industries-Reaches-Agreement-Establishing-a-Pathway-to-100-Ownership-of-El-Dorado-CCS-Project,,item-link
2026-05-25#06,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-19,Global CCS Institute profiles Brevik CCS — world's largest cement CO₂ capture plant,Norway,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.globalccsinstitute.com/resources/,,item-link
2026-05-25#07,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-25,2026-05-18,Abu Dhabi issues General Policy on Carbon Capture — GCCS Institute calls it a regional milestone,United Arab Emirates,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.globalccsinstitute.com/,,item-link
2026-05-26#01,ca-pathways,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-26,2026-05-25,Canada presses oil sands producers on Pathways carbon capture project,Canada,canonical physical project location,positive,,corporate/project milestone,16.0,no — evidence only; canonical capacity register controls totals,https://worldoil.com/news/2026/5/25/canada-presses-oil-sands-producers-on-pathways-carbon-capture-project/,,item-link
2026-05-26#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-26,2026-05-25,COFs redefine membrane limits in carbon capture,Japan,single event geography; entity not mapped,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.miragenews.com/cofs-redefine-membrane-limits-in-carbon-capture-1679633/,,item-link
2026-05-26#03,au-moomba-ccs,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-26,2026-05-20,Moomba CCS achieves 2 million tonne CO₂e storage milestone,Australia,canonical physical project location,neutral,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.santos.com/news/moomba-ccs-project-achieves-historic-emissions-reduction-milestone/,,item-link
2026-05-26#04,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-26,2026-05-22,Eni and BlackRock's GIP secure >$670 million financing for CCS portfolio,,multi-country or global event; non-additive until adjudicated,positive,,corporate/project milestone,4.5,no — evidence only; canonical capacity register controls totals,https://www.offshore-energy.biz/eni-and-blackrocks-gip-score-over-670-million-financing-boost-to-fuel-ccs-growth/,,item-link
2026-05-26#05,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-26,2026-05-23,21 industry groups urge phased EU CO₂ transport regulation,European Union,single event geography; entity not mapped,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/industry-groups-call-for-phased-eu-approach-to-co2-transport-regulation/,,item-link
2026-05-27#01,us-carbon-terravault-i,matched,curated alias,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-27,2026-05-26,California Achieves First CO₂ Injection at Carbon TerraVault I — State's Inaugural Commercial CCS Project,United States,canonical physical project location,positive,,not-dated,1.46,no — evidence only; canonical capacity register controls totals,https://www.theglobeandmail.com/investing/markets/markets-news/GlobeNewswire/2126057/california-resources-corporation-achieves-first-co2-injection-at-carbon-terravault-i-a-major-milestone-for-carbon-management-in-california/,,item-link
2026-05-27#02,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-27,2026-05-23,Industry Groups Call for Phased EU Approach to CO₂ Transport Regulation,European Union,single event geography; entity not mapped,negative,,not-dated,,no — evidence only; canonical capacity register controls totals,https://carbonherald.com/industry-groups-call-for-phased-eu-approach-to-co2-transport-regulation/,,item-link
2026-05-27#03,,unmatched,,daily_news,dashboard/data/facts-backfill.jsonl,2026-05-27,2026-05-22,Eni and BlackRock's GIP Score Over $670 Million Financing Boost to Fuel CCS Growth,,multi-country or global event; non-additive until adjudicated,positive,,not-dated,,no — evidence only; canonical capacity register controls totals,https://www.offshore-energy.biz/eni-and-blackrocks-gip-score-over-670-million-financing-boost-to-fuel-ccs-growth/,,item-link
